Callsign	Location	Phone	CW	Digital	Total Score
		QSO's	QSO's	QSO's	
OM2VL	SK/DX	5	14	0	3350
DL5AXX	DE/DX	0	10	0	1650
VE5MX	SK	0	10	0	1650
VE7SCC	BC	1	9	0	1190
VA1MM	NS	1	7	0	1100
VA6RCN	AB	0	5	0	850
VE3CW	ON	0	4	0	770
VE3HZ	ON	4	4	0	770
VE7ZO	BC	0	7	0	750
VE3YT	ON	1	6	0	700
VA3SP	ON	0	5	0	650
VE3TW	GH	1	6	0	570
SP6JOE	PL/DX	0	4	0	530
VA3FN	ON	0	4	0	530
VA3IJK	ON	2	3	0	530
VE3SIF	ON	0	4	0	530
VE2EZD	QC	0	3	0	410
VE2GT	QC	0	4	0	370
VE1RGO	NS	3	1	0	350
VE3DQN	ON	0	2	0	290
VA3MWF	ON	1	2	0	250
LY5W	LT/DX	0	3	0	230
VE2FK	QC	0	3	0	230
VE9RLW	NB	1	0	0	70
