Callsign	Location	Phone	CW	Digital	Total Score
		QSO's	QSO's	QSO's	
K9CW	IL	0	13	0	4730
WB9HFK	IL	2	10	0	3570
K9PW	IL	2	13	0	3410
N7IR	AZ	0	10	0	3250
WV4P	TN	1	15	0	3150
K4FT	SC	0	11	0	3130
K8MV	FL	0	10	0	3050
W0PI	MN	5	8	0	2990
K5QQ	MO	0	12	0	2930
KG9X	IL	0	10	0	2850
N7A	AZ	3	14	0	2530
ND0C	MN	2	7	0	2450
W9ILY	IL	0	8	0	2290
N7EPD	WA	3	12	0	2210
KD2KW	TX	0	9	0	2210
K8RGI	OH	0	9	0	2210
NE1QP	MA	2	14	0	2150
KU1N	MA	0	10	0	2050
K3QP	PA	0	10	0	2050
WJ1U	NH	1	9	0	1950
NS0R	KS	3	10	0	1890
K1RO	NH	0	9	0	1850
K4BAI	GA	0	11	0	1810
K1EP	ME	1	12	0	1800
W6OAT	WA	0	14	0	1730
NE8P	FL	0	12	0	1730
N4EMP	AL	2	6	0	1730
KG7NV	NV	0	12	0	1730
K3MM	MD	1	10	0	1730
W1QK	CT	0	8	0	1650
KE2D	NJ	0	8	0	1650
K9CT	IL	0	10	0	1650
AC6ZM	TN	0	8	0	1650
N6AR	FL	3	8	0	1570
WB2FKO	FL	0	6	0	1490
NE2R	NJ	0	9	0	1490
N8KH	FL	0	12	0	1490
K9JK	IN/IL	2	6	0	1450
N5KW	OK	3	8	0	1380
K5CM	OK	3	8	0	1380
KC7V	AZ	0	11	0	1370
K2YG	NJ	1	5	0	1370
WA2JQK	NY	0	6	0	1250
NW0M	MO	0	6	0	1250
N2UU	NJ	0	6	0	1250
K0MPH	MN	0	6	0	1250
NR0P	KS	3	7	0	1240
AA5TL	OR	0	8	0	1170
AI5G	MO	1	5	0	1150
AF0F	KS	3	4	0	1150
N5RZ	TX	0	9	0	1130
AD4EB	TN	0	9	0	1130
WA9LEY	IL	0	5	0	1050
N6AA	CA	0	5	0	1050
WB3X	SC	0	6	0	1010
W9QL	IL	2	7	0	1010
W3WHK	PA	0	6	0	1010
K2MK	FL	0	6	0	1010
K2KT	VA	0	6	0	1010
N3IW	PA	0	5	0	950
K4RUM	NY	0	9	0	950
K1KI	CT	0	9	0	950
WA8ZBT	TX	1	5	0	930
