Name,Callsign,Contest,Location,Category-Op,Category-Power,Club,Unique QSOs,Duplicate QSOs,Power Multiplier,Total-QSO Points,Multiplier Label,Multiplier Count,Phone QSOs,CW QSOs,Digital QSOs,Total Score
Douglas Nelson,AA0AW,DE-QSO-PARTY,MN,SINGLE-OP,LOW,Minnesota Wireless Assn,3,0,2,60,Delaware Counties,3,0,3,0,410
MARSHALL TOBUREN,AA0FO,IN7QPNE-QSO-PARTY,KS,SINGLE-OP,HIGH,KANSAS CITY CONTEST CLUB,2,0,1,30,Delaware Counties,1,1,1,0,80
Jon Zaimes,AA1K,DE-QSO-PARTY,KDE,SINGLE-OP,QRP,Frankford Radio Club,767,30,3,1534,States/Provinces,116,0,767,0,533882
Fred Tollin,AA3R,DE-QSO-PARTY,KDE,SINGLE-OP,HIGH,Frankford Radio Club,604,57,1,947,States/Provinces,76,261,343,0,72022
Dave Saul,AA4DD,IN7QPNE-QSO-PARTY,TN,SINGLE-OP,HIGH,Bristol (TN) ARC,3,0,1,60,Delaware Counties,3,0,3,0,230
RICHARD MAXEY JR.,AA5TL,7QP-QSO-PARTY,OR,SINGLE-OP,HIGH,CODXC,8,0,1,160,Delaware Counties,7,0,8,0,1170
Vadim Krasnoiarov,AA6MU,IN7QPNE-QSO-PARTY,SV,SINGLE-OP,LOW,,3,0,2,60,Delaware Counties,3,0,3,0,410
David M Kukulka,AB9BZ,7QP,IL,SINGLE-OP,QRP,NAQCC,1,0,3,20,Delaware Counties,1,0,1,0,110
KENNETH F SWEENEY,AC3DH,DE-QSO-PARTY,NDE,Single-Op,LOW,First State ARC,19,0,2,19,States/Provinces,14,19,0,0,582
Richard Cullen Jr,AC3MR,DE-QSO-PARTY,SDE,SINGLE-OP,LOW,,11,0,2,11,States/Provinces,11,11,0,0,292
Don Perese,AC5XK,IN7QPNE-QSO-PARTY,MDC,SINGLE-OP,LOW,Yankee Clipper Contest Club,3,0,2,60,Delaware Counties,3,0,3,0,410
Juan Lopez,AC6ZM,IN7QPNE-QSO-PARTY,TN,SINGLE-OP,LOW,Tennessee Contest Group,8,0,2,160,Delaware Counties,5,0,8,0,1650
Jim Hall,AD4EB,IN7QPNE-QSO-PARTY,TN,SINGLE-OP,HIGH,Tennessee Contest Group,9,0,1,180,Delaware Counties,6,0,9,0,1130
Michael Whaley,AF0F,IN7QPNE-QSO-PARTY,KS,SINGLE-OP,LOW,Kansas City Contest Club,7,1,2,110,Delaware Counties,5,3,4,0,1150
Michael Allen,AG4H,DEQP,AL,CHECKLOG,LOW,,3,0,2,30,Delaware Counties,3,3,0,0,230
DAN VASILCA,AI4WW,IN7QPNE-QSO-PARTY,SFL,SINGLE-OP,HIGH,GOLD COAST AMATEUR RADIO ASSOCIATION INC,2,0,1,40,Delaware Counties,2,0,2,0,130
Mark Simpson,AI5G,IN7QPNE-QSO-PARTY,MO,SINGLE-OP,LOW,Society of Midwest Contesters,6,0,2,110,Delaware Counties,5,1,5,0,1150
Ed Felter,AI6O,IN7QPNE-QSO-PARTY,MO,SINGLE-OP,LOW,Kansas City Contest Club,2,0,2,40,Delaware Counties,2,0,2,0,210
Masahiro Miura,AJ3M,IN7QPNE-QSO-PARTY,MDC,SINGLE-OP,HIGH,Potomac Valley Radio Club,4,0,1,80,Delaware Counties,3,0,4,0,290
Eric Carlson,AJ4LN,IN7QPNE-QSO-PARTY,VA,SINGLE-OP,LOW,Sterling Park ARC,2,0,2,20,Delaware Counties,2,2,0,0,130
DIETMAR KASPER,DL3DXX,DE-QSO-PARTY,(not found),(not found),LOW,BAVARIAN CONTEST CLUB,0,0,2,0,Delaware Counties,0,0,0,0,50
Ulf Ehrlich,DL5AXX,IN7QPNE-QSO-PARTY,(not found),SINGLE-OP,HIGH,(not found),10,0,1,200,Delaware Counties,8,0,10,0,1650
Dragan Davkovski,K0AP,IN7QPNE-QSO-PARTY,KS,SINGLE-OP,LOW,Kansas City Contest Club,3,0,2,60,Delaware Counties,3,0,3,0,410
Alan Higbie,K0AV,IN7QPNE-QSO-PARTY,CO,SINGLE-OP,LOW,Grand Mesa Contesters of Colorado,2,0,2,40,Delaware Counties,2,0,2,0,210
Roger Roth,K0MPH,IN7QPNE-QSO-PARTY,MN,SINGLE-OP,LOW,Minnesota Wireless Assn,6,1,2,120,Delaware Counties,5,0,6,0,1250
PAT CAIN,K0PC,IN7QPNE-QSO-PARTY,MN,SINGLE-OP,HIGH,MINNESOTA WIRELESS ASSN,3,0,1,60,Delaware Counties,3,0,3,0,230
Robert Chudek,K0RC,IN7QPNE-QSO-PARTY,MN,SINGLE-OP,LOW,Minnesota Wireless Assn,4,0,2,70,Delaware Counties,4,1,3,0,610
Charlie Chirhart,K0SV,IN7QPNE-QSO-PARTY,MN,SINGLE-OP,LOW,MINNESOTA  WIRELESS  ASSN,2,0,2,30,Delaware Counties,1,1,1,0,110
Ron Dodge,K0TC,IN7QPNE-QSO-PARTY,MN,SINGLE-OP,LOW,Minnesota Wireless Assn,6,0,2,120,Delaware Counties,3,0,6,0,770
Brad,K0TRL,IN7QPNE-QSO-PARTY,KS,SINGLE-OP,LOW,Kansas City Contest Club,1,0,2,10,Delaware Counties,1,1,0,0,70
Jeff Strandberg,K0UU,IN7QPNE-QSO-PARTY,MN,SINGLE-OP,LOW,Minnesota Wireless Assn,5,0,2,100,Delaware Counties,4,0,5,0,850
